id,父级功能,功能名称,功能说明与用户视角,hierarchy_level
D1,,动力,"包含硬件和控制系统，包含有关车辆动力总成功能或表现的相关描述，包含传统动力、电动、插混、增程等动力总成控制、动力总成附件的控制；传动系统的控制，例如变速箱、电驱动轴、轮边电机、电池能量管理等等
用户评论：动力好坏、能耗高低、换挡平顺、是否有发动机、变速箱、电机等异响",1
D2,,底盘,包含制动系统、转向系统、悬架、悬置、轮胎、传统车混动车的燃油系统等硬件及相关的控制系统功能,1
D3,,车身电子,包含安装在车身上的外功能件，外部有车门、车各类灯、车窗、前后盖、雨刮、洗涤功能、后视镜，加油口、充电口，内部有方向盘、座椅、天窗等,1
D4,,智能座舱,包含用户在驾驶舱内看到的、用到的、听到的、闻到的电子功能，例如有：仪表、hud、语音功能、音响功能，车内摄像头功能（人脸识别）除照明外的其他灯光功能（氛围灯、星光顶、迎宾灯等）、记忆系统（车机摄像头记忆、座椅记忆等），车机系统包含的所有功能（此处不同车型的差异性较大）,1
D5,,智能驾驶,所有有关的智能驾驶功能：低速智能驾驶（自动或辅助泊车、360、交通拥堵辅助等），高速驾驶辅助（自适应巡航、车道保持、车道偏离预警、紧急制动、前碰预警、巡航等）,1
D6,,智能网联,包含用V2X的所有功能，例如利用app对车辆进行的进入、锁车、控制车辆等功能），车辆信息联网的相关功能：ota，紧急呼叫、etc、车辆信息上传、车辆信息监控等,1
D7,,空调及热管理,空调相关的功能；车辆热管理相关的功能：发动机热管理、电池热管理、驾驶舱热管理、需要冷却的部件的热管理,1
D8,,车辆安全,包含车辆和安全相关的功能，一般有碰撞的被动安全，主动安全、气囊，行人保护，车辆防盗和出入安全的功能,1
D9,,架构基础,车辆基础电器架构的相关功能及设计，用户可感知到的较为重要的ota功能在此范畴,1
D10,,车辆附件,主要包含用户可自主加装的，可拆卸的、车辆附赠的，可以同车进行功能联动的硬件或功能：车载冰箱、车内扩展坞（自定义外设连接、隔物板）、车外连接功能（外接放电），备胎、灭火器、千斤顶、雨伞等等,1
D1-F1,D1,驱动电机控制,控制驱动电机的转速和扭矩输出；用户常评价其加速是否平顺、动力响应是否及时。功能作用：调节驱动电机控制输出，保障动力与效率；工作场景：爬坡、高速超车、起步加速；常见故障表现：加速迟滞、扭矩突增、警告灯点亮；用户抱怨：“踩电门没反应”,2
D1-F2,D1,发动机控制,含混动车发动机控制；管理发动机启停与输出；用户关注油耗表现与发动机噪音。功能作用：调节发动机控制输出，保障动力与效率；工作场景：拥堵蠕行、爬坡、动能回收；常见故障表现：警告灯点亮、无法启动车辆、加速迟滞；用户抱怨：“加速像船”,2
D1-F3,D1,发电机控制,控制电能回收及能量转换效率；用户可能评价混动车能量切换是否流畅。功能作用：协调发电机控制与传动系统，提供即时驱动；工作场景：起步加速、动能回收、爬坡；常见故障表现：警告灯点亮、扭矩突增、无法启动车辆；用户抱怨：“动力忽快忽慢”,2
D1-F4,D1,电动驱动控制,总控电驱系统工作模式；用户评价整车驾驶体验与加速性能。功能作用：协调电动驱动控制与传动系统，提供即时驱动；工作场景：拥堵蠕行、动能回收、爬坡；常见故障表现：警告灯点亮、无法启动车辆、扭矩突增；用户抱怨：“动力忽快忽慢”,2
D1-F5,D1,电驱油泵控制,提供液压系统润滑冷却；用户较少直接感知，间接体现在可靠性上。功能作用：负责电驱油泵控制正常工作与用户体验；工作场景：城市通勤、日常驾驶、极端天气；常见故障表现：响应延迟、功能失效、误报警；用户抱怨：“反应太慢”,2
D1-F6,D1,电驱辅助驻车,提供电子驻车功能；用户会评价驻车是否平稳、安全性是否可靠。功能作用：协调电驱辅助驻车与能量回收，带来平顺刹车体验；工作场景：湿滑路面、驻车、紧急制动；常见故障表现：制动距离延长、制动灯常亮、制动力不足；用户抱怨：“制动力忽强忽弱”,2
D1-F7,D1,起动机控制,控制发动机点火启动过程；用户关注启动是否迅速平稳。功能作用：协调起动机控制与传动系统，提供即时驱动；工作场景：高速超车、拥堵蠕行、爬坡；常见故障表现：加速迟滞、无法启动车辆、扭矩突增；用户抱怨：“起步肉”,2
D1-F8,D1,电动车辆启动,实现整车系统启动流程；用户评价是否一键启动、反应迅速。功能作用：负责电动车辆启动正常工作与用户体验；工作场景：城市通勤、极端天气、长途出行；常见故障表现：功能失效、指示灯点亮、响应延迟；用户抱怨：“总是不好用”,2
D1-F9,D1,混动整车控制,HCU；管理混动车EV与HEV切换；用户评价动力切换是否平顺、是否省油。功能作用：负责混动整车控制正常工作与用户体验；工作场景：极端天气、城市通勤、长途出行；常见故障表现：响应延迟、功能失效、指示灯点亮；用户抱怨：“总是不好用”,2
D1-F10,D1,纯电整车控制,VCU；统一调度电控系统；用户关注续航真实性和车辆是否“聪明”。功能作用：负责纯电整车控制正常工作与用户体验；工作场景：日常驾驶、长途出行、城市通勤；常见故障表现：指示灯点亮、响应延迟、功能失效；用户抱怨：“老是报警”,2
