id,功能模块名称,功能模块描述
D1-F1-1,FCW-前撞报警,系统功能适用范围内，感知识别前方目标物，当与前方目标有碰撞风险时，系统可以发出前向碰撞报警（包含视觉和听觉报警信息），警告驾驶员。典型场景分静止车辆目标、运动车辆目标、减速车辆目标、行人/二轮车纵向行驶、行人/二轮车无遮挡条件下横穿、行人有遮挡条件下横穿，具体指标参考ISO法规。
D1-F1-2,RCW-后撞报警系统,"自车行驶过程中，系统根据后方区域内目标计算目标的TTC及轨迹路径，计算碰撞风险。当后车车辆车速较快，存在碰撞风险时，自车通过闪烁危险报警灯，提醒后方车辆驾驶员，避免碰撞风险。
系统识别车辆后方及侧边的近距离目标包括汽车，摩托车，电瓶车，自行车；当车辆整车上电时，RCW检测系统将打开。
支持多级报警：系统根据TTC及碰撞风险区分不同报警等级（例如。低级别报警可以采用类似刹车灯提醒后方目标车辆减速，高级别报警可以采用蜂鸣器提醒本车驾驶员避让，同时加强后方报警灯亮度以增加对后方的提醒。
具体指标参考ISO法规。"""
D1-F1-3,DOW-开门预警,"系统在停车状态下，即将开启车门时，监测车辆后方及侧边驶过来的近距离目标：汽车，摩托车，电瓶车，自行车，以及系统可识别的unknown移动目标，监控风险，通过声光报警，避免开门事故。系统可根据碰撞的可能性与具体情形给出低级或者高级告警。典型场景分侧前方报警区域监测到目标、侧后方报警区域内监测到目标。当目标TTC<报警门限值，且系统未检测到开门动作，则触发一级报警。目标TTC<报警门限值，且系统检测到开门动作，则触发二级报警；目标向后行驶，超过车辆C柱线后，报警停止。一级报警系统应在门上报警灯常亮；二级报警系统门上报警灯闪烁，并发出声音报警。
性能指标：
车速范围0-5km/h（可标定）； TTC：2S（可标定）；最大探测距离：纵向≥80m，侧向≥3m；系统响应时间≤300ms；监测/报警距离：0~±50m；监测车道：3；最短报警持续时间：2s。"""
D1-F1-4,LDW-车道偏离预警,"系统在自身车辆发生了无意识车道偏离的情况下对驾驶员进行告警，告警可以通过视觉、声音、触觉（方向盘震动）形式体现。在车道边线可见或是没有车道线标记线的路沿的情况下也支持相关预警。
1.系统应能探测路沿或道路的边界（如路肩或未铺路区域）
2.可识别车道宽度： 2.5m～5.2m
3.可识别车道标记线类型：实线、虚线、双实线、双虚线、虚实结合
4.可识别车道标记线颜色：白色、黄色、蓝色
5.可识别车道标记线宽度：8cm~10cm （农村公路）、15cm~20cm（国道或高速上的白色标线）、40cm～60cm（快速路或高速公路上的宽白线）
典型场景：
1.车辆行驶在直道上，向左或向右有冲出本车道的趋势，系统通过HMI对驾驶员进行预警。
2.车辆行驶在弯道上，向自车道两边车道线有冲出本车道的趋势，系统通过HMI对驾驶员进行预警。
3.车辆行驶在弯道上，向非最外侧道路边沿车道有冲出本车道的趋势，系统不进行预警。
4.当道路两边只有一侧有车道线，则偏离有车道线的一侧需要预警，另一侧不做预警。
性能指标（可标定）：
1.最早报警线：车道线内0.75m；最迟报警线：车道线外0.3m
2.报警的时长大于0.6s小于1.5s
3.车头中心线越过车道线结束报警
4.方向盘的震动幅值小于1Nm，震动频率大于10Hz，具体待标定，共支持3挡
5.车速范围：60~150km/h
6.系统适应的弯道半径>125m
7.重新选择车道标线的时间≤2s
8.直道/弯道上，TTLC为0.5s-1s（可标定）触发报警
抑制条件：
1.车辆压内侧弯道时，系统不响应，包括报警与干预都不动作
2.驾驶员打转向灯时功能抑制
3.驾驶员踩下制动踏板，油门踏板，方向盘转动功能抑制"""
D1-F1-5,BSD-盲区监测,"自车行驶过程中针对自车侧向、后向的盲点区域进行监测，当监测到危险情况时，将会通过安装在后视镜的提示灯发出警告。提示灯的闪烁和常亮对应着不同等级的警告。
性能指标：
1.当车辆开始向前行驶时，系统将打开
2.盲区需要分左侧与右侧，并通过后视镜图标显示
3.当盲区有车辆时，如驾驶员进行拨杆换道动作，通过语音进行提醒
4.系统具备两级报警，一级只有报警灯常亮，二级为指示灯及声音报警
5.车速范围：0~150km/h
6.系统响应时间≤300ms
7.最小报警距离3m
8.监测车道数3，即自车道、自车道的左一车道以及自车道的右一车道
9.最短报警持续时间：2s
10.在识别出车道线的情况下，满足漏报率/误报率≤5/10000km
11.最大探测距离≥80m
12.超车抑制时间：2s
抑制条件：
1.针对固定静止的物体不会触发预警
2.当车辆行驶在两侧有混凝土墙、护栏或类似于建筑物体的道路上时，不应触发警报"""
D1-F1-6,TSR-交通标志识别,"识别限速标志、解除限速标志和停止标志，并将识别的相关信息推送给HMI，通过视觉和声音告警来提醒驾驶员。当地图与感知的数据冲突时，优先显示地图的。当感知到道路上同一个地点有几个同类型标志时，呈现最左的。
1.工作车速：全车速
2.车速120km/h，提示交通标志信息时，车头交通标识的最小距离:6m
3.白天综合识别率≥95%，夜晚光照良好识别率≥95%，夜晚雨雾天气识别率≥90%
4.提示最小持续时间：10s"""
D1-F1-7,智能驾驶交通信号灯识别(TLR),"系统获取行驶道路上不同类型的交通信号灯，比如机动车信号灯、方向指示信号灯，并在HMI上显示。
性能指标：
1.工作车速范围：全车速
2.开始提醒有信号灯的距离≥150m（依赖高精地图）
3.识别距离≥100m"""
D1-F1-8,智能限速提醒（ISA）,"识别限速标志、解除限速标志和停止标志，并将识别的相关信息推送给HMI，通过视觉和声音告警来提醒驾驶员。当地图与感知的数据冲突时，优先显示地图的。当感知到道路上同一个地点有几个同类型标志时，呈现最左的。
1.工作车速：全车速
2.车速120km/h，提示交通标志信息时，车头交通标识的最小距离:6m
3.白天综合识别率≥95%，夜晚光照良好识别率≥95%，夜晚雨雾天气识别率≥90%
4.提示最小持续时间：10s"
D1-F2-1,AEB-紧急制动,系统功能适用范围内，在FCW发出报警后，当危险程度增加，而驾驶员没有采取措施或采取措施后仍存在碰撞风险，系统将自动刹车，避免碰撞或减轻碰撞伤害。
D1-F2-2,RAEB-后方紧急制动,当自车向后行驶，速度范围1~12km/h（下限可标定）时系统可工作。当自车接近后方目标车辆、行人和非机动车等障碍物并和自车有碰撞风险，驾驶员无主动制动操作或制动能力不足时，系统通过紧急辅助制动，避免或者缓解碰撞风险。具体性能指标参考ISO法规。
D1-F2-3,前方穿行辅助,系统对目标区域移动的目标进行监测，对于可能造成碰撞风险的情况，提供告警以及制动控制。系统检测目标包括机动车辆、非机动车辆、行人及其他移动的可能危及交通安全的对象，包括但不限于目标的运动状态、形状、可信度、速度、距离等信息。系统功能适用范围内，系统识别自车与目标物的轨迹是否有交错、自车与目标物的碰撞时间、目标物到自车中轴线的距离和目标物速度，当碰撞风险较低时，FCTA系统将发出声光报警，当碰撞风险较高时，FCTB系统将进行紧急制动，且分为轻度制动和全力制动。
D1-F2-3-1,FCTA-前方穿行辅助,系统识别自车与目标物的轨迹是否有交错、自车与目标物的碰撞时间、目标物到自车中轴线的距离和目标物速度，当碰撞风险较低时，FCTA系统将发出报警。
D1-F2-3-2,FCTB-前方穿行制动,"系统对目标区域移动的目标进行监测，对于可能造成碰撞风险的情况，提供告警以及制动控制。系统检测目标包括机动车辆、非机动车辆、行人及其他移动的可能危及交通安全的对象，包括但不限于目标的运动状态、形状、可信度、速度、距离等信息。系统功能适用范围内，系统识别自车与目标物的轨迹是否有交错、自车与目标物的碰撞时间、目标物到自车中轴线的距离和目标物速度，当碰撞风险较低时，FCTA系统将发出声光报警，当碰撞风险较高时，FCTB系统将进行紧急制动，且分为轻度制动和全力制动。
典型场景：
1、功能抑制：FCTB功能考虑急速转向时刹车带来的风险较高，在转向频率≥500deg/s（可标定）时，FCTB功能将被挂起。
2、刹停保持：系统将车辆刹停后，应能使车辆保持静止至少2s不会溜车，且在坡道上（JTG B01）不会后溜。
3、多目标检测：当系统检测到多个来向目标时，系统需要做好优先级仲裁，不能有冲突。
性能指标：
1.FCTA在0~15km/h时工作，FCTB在4~15km/h时工作。
2.前向最远探测距离200m，侧向最远探测距离80m。
3.监测车道数3，即自车道、自车道的左一车道以及自车道的右一车道。
4.最短报警持续时间2s。
5.FCTB支持的最大减速度不低于0.8g。"
